ticker,name,market,market_cap
099320,쎄트렉아이,KOSDAQ,1817912148000
027360,아주IB투자,KOSDAQ,1817181090000
458870,씨어스,KOSDAQ,1813546611000
080220,제주반도체,KOSDAQ,1804804449200
232140,와이씨,KOSDAQ,1792690897500
004000,롯데정밀화학,KOSPI,1790520000000
491000,리브스메드,KOSDAQ,1776681439200
445680,큐리옥스바이오시스템즈,KOSDAQ,1756452335500
069620,대웅제약,KOSPI,1718289072500
006040,동원산업,KOSPI,1701904860300
437730,삼현,KOSDAQ,1696354834500
012630,HDC,KOSPI,1678742360100
073240,금호타이어,KOSPI,1671854870340
032350,롯데관광개발,KOSPI,1647750511800
095610,테스,KOSDAQ,1626240000000
001800,오리온홀딩스,KOSPI,1619384158700
003530,한화투자증권,KOSPI,1611253790250
006280,녹십자,KOSPI,1602224359800
065350,신성델타테크,KOSDAQ,1594068984000
085660,차바이오텍,KOSDAQ,1588852993320
290650,엘앤씨바이오,KOSDAQ,1570334381600
030610,교보증권,KOSPI,1553315158430
100090,SK오션플랜트,KOSPI,1533838066950
294870,IPARK현대산업개발,KOSPI,1512573223500
281740,레이크머티리얼즈,KOSDAQ,1511802604000
090710,휴림로봇,KOSDAQ,1507549826140
000210,DL,KOSPI,1498345706000
036830,솔브레인홀딩스,KOSDAQ,1496790613000
166090,하나머티리얼즈,KOSDAQ,1493214387000
195940,HK이노엔,KOSDAQ,1484486288400
183300,코미코,KOSDAQ,1481232854400
003380,하림지주,KOSDAQ,1469513747520
034230,파라다이스,KOSPI,1468175704700
007310,오뚜기,KOSPI,1464861865000
020560,아시아나항공,KOSPI,1450174605440
490470,세미파이브,KOSDAQ,1437306060000
051915,LG화학우,KOSPI,1435498960000
052020,에스티큐브,KOSDAQ,1434447440100
189300,인텔리안테크,KOSDAQ,1424865851900
093370,후성,KOSPI,1420060569200
456160,지투지바이오,KOSDAQ,1416282730400
127120,제이에스링크,KOSDAQ,1410608224800
115180,큐리언트,KOSDAQ,1391476015100
397030,에이프릴바이오,KOSDAQ,1388439881800
036540,SFA반도체,KOSDAQ,1365020514900
195870,해성디에스,KOSPI,1363400000000
160190,하이젠알앤엠,KOSDAQ,1346716800000
388210,씨엠티엑스,KOSDAQ,1345786776600
181710,NHN,KOSPI,1342878699000
456040,OCI,KOSPI,1342874250000
082640,동양생명,KOSPI,1340889841350
222080,씨아이에스,KOSDAQ,1335485072480
137400,피엔티,KOSDAQ,1326680768000
003240,태광산업,KOSPI,1324946000000
420770,기가비스,KOSDAQ,1317011256200
003090,대웅,KOSPI,1311101649000
089970,브이엠,KOSDAQ,1303584513000
001740,SK네트웍스,KOSPI,1298901284740
192080,더블유게임즈,KOSPI,1293698894800
048410,현대바이오,KOSDAQ,1293174664800
300720,한일시멘트,KOSPI,1283363897050
330590,롯데리츠,KOSPI,1283021844960
096530,씨젠,KOSDAQ,1282148152700
466100,클로봇,KOSDAQ,1271688988050
124500,아이티센글로벌,KOSDAQ,1255364910700
126340,비나텍,KOSDAQ,1254403516800
032500,케이엠더블유,KOSDAQ,1254107531250
213420,덕산네오룩스,KOSDAQ,1253974539500
388720,유일로보틱스,KOSDAQ,1238219359500
415640,KB발해인프라,KOSPI,1237710034800
007390,네이처셀,KOSDAQ,1233931322400
014620,성광벤드,KOSDAQ,1232261689600
089860,롯데렌탈,KOSPI,1221810906200
328130,루닛,KOSDAQ,1213842607900
281820,케이씨텍,KOSPI,1213657919300
000670,영풍,KOSPI,1213264009700
001510,SK증권,KOSPI,1209673294550
298050,HS효성첨단소재,KOSPI,1207345986000
376900,로킷헬스케어,KOSDAQ,1204013533500
000080,하이트진로,KOSPI,1199986084210
023160,태광,KOSDAQ,1191186494100
035760,CJ ENM,KOSDAQ,1186367231400
185750,종근당,KOSPI,1182898246000
006340,대원전선,KOSPI,1180136960800
006650,대한유화,KOSPI,1177150000000
075580,세진중공업,KOSPI,1168256320800
090460,비에이치,KOSPI,1163048061000
100840,SNT에너지,KOSPI,1162260004600
005300,롯데칠성,KOSPI,1135735401600
009450,경동나비엔,KOSPI,1131979598400
033100,제룡전기,KOSDAQ,1130793593600
056190,에스에프에이,KOSDAQ,1127535064000
280360,롯데웰푸드,KOSPI,1126783911400
161580,필옵틱스,KOSDAQ,1120539406600
000815,삼성화재우,KOSPI,1120114950000
204270,제이앤티씨,KOSDAQ,1118789332440
033790,피노,KOSDAQ,1118065681040
365550,ESR켄달스퀘어리츠,KOSPI,1113552725000
499790,GS피앤엘,KOSPI,1096645507300
078160,메디포스트,KOSDAQ,1093808423700
005690,파미셀,KOSPI,1086907218040
086450,동국제약,KOSDAQ,1081007038000
293490,카카오게임즈,KOSDAQ,1079238670220
094170,동운아나텍,KOSDAQ,1074770710400
451800,한화리츠,KOSPI,1072212000000
295310,에이치브이엠,KOSDAQ,1070428899000
009240,한샘,KOSPI,1063733545600
044490,태웅,KOSDAQ,1060391193000
